Intent,Utterance,BOI Tag,,,,,,,,,,,,,,,,,,,,
s_size, Can I have the footlong ,O O O O b-size,,,,,,,,,,,,,,,,,,,,
s_bread, I'd like the toasted flatbread ,O O O O b-bread i-bread,,,,s - select,,,,,,,,,,,,,,,,
r_bread, Toasted should be good ,b-bread o o o,,,,r - reconfirm,,,,,,,,,,,,,,,,
s_bread, I’d like The Toasted herbs and cheese ,o o o b-bread i-bread i-bread i-bread,,,,d - deselect,,,,,,,,,,,,,,,,
s_bread, I’d like the hearty multigrain ,o o o b-bread i bread,,,,agree,,,,,,,,,,,,,,,,
s_bread, I'll have the toasted Italian artisan bread ,o o o b-bread i-bread i-bread i-bread,,,,disagree,,,,,,,,,,,,,,,,
s_bread, I'll have the flatbread ,o o o b-bread,,,,repeat,,,,,,,,,,,,,,,,
s_bread, I'd like the toasted herbs and cheese bread Italian ,O O O b-bread I-bread I-bread I-bread I-bread I-bread ,,,,greeting,,,,,,,,,,,,,,,,
s_bread, I'll have the toasted Artisan Flatbread ,O O O b-bread I-bread I-bread,,,,,,,,,,,,,,,,,,,,
s_bread, Just The Toasted artisan bread,o o b-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread, Just the toaster artisan Italian ,o o b-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread, Just the hearty multigrain,o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread, The hearty multigrain,o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread, I’ll the toasted artisan Italian,o o b-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread, Toasted Artisan Flatbread,b-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread, Toasted Italian herb and cheese please,b-bread I-bread i-bread i-bread i-bread o,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some avocado,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some guacamole,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some sweet peppers,",o o b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,add some cucumbers and onions,o o b-veggies o i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some green peppers,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,add some lettuce,o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some red onions,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some spinach,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some tomatoes,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some banana peppers,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
